ranking,entity,entity_just_name,entity_category,amount_staked,amount_staked_broken_down,validators,marketshare,ow_change,om_change,sm_change,earned_rewards,last_deposit,last_withdrawal
70,95948.eth,95948.eth,Solo Stakers,2080,2080,65,0.0000542833979087721,0,0,0,107.57982828700001," 2025-09-03 "," 2025-06-13 "
71,andermatt.eth,andermatt.eth,Solo Stakers,2080,2080,65,0.0000542833979087721,0,0,0,0," 2021-11-23 ",Never
72,86061611630.eth,86061611630.eth,Solo Stakers,1952,1952,61,0.00005094288111438613,0,0,0,0," 2022-11-21 ",Never
73,daveydoo.eth,daveydoo.eth,Solo Stakers,1472,1472,46,0.00003841594313543872,0,0,0,256.50187790000007," 2025-05-15 "," 2025-05-22 "
74,47validators.eth,47validators.eth,Solo Stakers,1344,1344,42,0.000035075426341052745,0,0,0,0," 2021-06-19 ",Never
75,ibeli.eth,ibeli.eth,Solo Stakers,1280,1280,40,0.000033405167943859756,0,0,0,199.94455279199997," 2022-05-08 ",Never
76,<a href='https://x.com/SharedStakeNews' target='_blank'>SharedStake</a>,SharedStake,Liquid Staking,1280,1280,40,0.000033405167943859756,0,0,0,1993.6416051090007," 2021-04-04 "," 2024-06-27 "
77,dymaxiontechnology.eth,dymaxiontechnology.eth,Solo Stakers,1056,1056,33,0.0000275592635536843,0,0,0,113.448406175," 2022-08-09 ",Never
78,katto.eth,katto.eth,Solo Stakers,1056,1056,33,0.0000275592635536843,0,0,-0.057,101.607425468," 2024-11-15 "," 2026-01-14 "
79,gunfighter.eth,gunfighter.eth,Solo Stakers,1024,1024,32,0.000026724134355087806,0,0,0,135.956329564," 2022-06-07 ",Never
80,permafrost.eth,permafrost.eth,Solo Stakers,1024,1024,32,0.000026724134355087806,0,0,0,0," 2020-11-24 ",Never
81,Blox Staking,Blox Staking,Staking Pools,992,992,31,0.00002588900515649131,0,0,0,223.18419311400007," 2020-11-23 ",Never
82,freedom55.eth,freedom55.eth,Solo Stakers,984,984,30.75,0.000025680222856842187,0,0,0,229.48445504," 2025-05-07 "," 2025-08-09 "
83,wesurvivedthemerge.eth,wesurvivedthemerge.eth,Solo Stakers,960,960,30,0.000025053875957894817,0,0,0,128.257095083," 2022-09-16 ",Never
84,ronit.eth,ronit.eth,Solo Stakers,960,960,30,0.000025053875957894817,0,0,0,208.423207543," 2020-12-25 ",Never
85,staked.finance,staked.finance,Liquid Staking,960,960,30,0.000025053875957894817,0,0,0,213.58219962900003," 2020-11-25 ",Never
86,<a href='https://x.com/redactedcartel' target='_blank'>Redacted Pirex</a>,Redacted Pirex,Liquid Staking,935,935,29.21875,0.000024401431271491307,0,-0.064,-0.941,1387.1663793680004," 2025-09-24 "," 2026-03-09 "
87,collaboard.eth,collaboard.eth,Solo Stakers,928,928,29,0.000024218746759298323,0,0,0,0," 2022-12-22 ",Never
88,synergycrypto.eth,synergycrypto.eth,Solo Stakers,896,896,28,0.00002338361756070183,0,0,0,170.63742181900005," 2024-08-16 ",Never
89,fsjal.eth,fsjal.eth,Solo Stakers,817,817,25.53125,0.000021321892351666736,0,0,0.11,163.31374587899998," 2025-11-07 "," 2024-07-06 "
90,joycedental.eth,joycedental.eth,Solo Stakers,704,704,22,0.000018372842369122867,0,0,0,78.250529574," 2022-11-30 "," 2023-07-08 "
91,igisandros.eth,igisandros.eth,Solo Stakers,704,704,22,0.000018372842369122867,0,0,0,139.18103086499997," 2025-05-02 "," 2025-03-05 "
92,avastake.eth,avastake.eth,Solo Stakers,672,672,21,0.000017537713170526372,0,0,0,102.66354858699998," 2021-10-23 ",Never
93,lazlokovacs.eth,lazlokovacs.eth,Solo Stakers,640,640,20,0.000016702583971929878,0,0,0,126.14683306900001," 2021-04-27 ",Never
94,writter.eth,writter.eth,Solo Stakers,640,640,20,0.000016702583971929878,0,0,0,54.00227278299999," 2023-04-18 ",Never
95,mirasol.eth,mirasol.eth,Solo Stakers,640,640,20,0.000016702583971929878,0,0,0,147.33616282699998," 2020-11-05 ",Never
96,binarybangers.eth,binarybangers.eth,Solo Stakers,640,640,20,0.000016702583971929878,0,0,0,122.06671807699999," 2021-07-11 ",Never
97,radwanski.eth,radwanski.eth,Solo Stakers,640,640,20,0.000016702583971929878,0,0,0,101.17890252200002," 2022-08-21 ",Never
98,sturmh.eth,sturmh.eth,Solo Stakers,608,608,19,0.000015867454773333384,0,0,0,96.26758217499999," 2023-06-27 "," 2023-04-29 "
99,xp1.eth,xp1.eth,Solo Stakers,608,608,19,0.000015867454773333384,0,0,0,83.430661385," 2022-07-06 "," 2024-06-10 "
100,scg.eth,scg.eth,Solo Stakers,576,576,18,0.000015032325574736891,0,0,-0.182,146.233969365," 2021-01-13 "," 2025-11-03 "
101,showaid.eth,showaid.eth,Solo Stakers,576,576,18,0.000015032325574736891,0,0,0,105.073188739," 2025-01-08 "," 2025-01-08 "
102,careerin.eth,careerin.eth,Solo Stakers,512,512,16,0.000013362067177543903,0,0,0,70.14090901499999," 2020-12-13 ",Never
103,mylogin.eth,mylogin.eth,Solo Stakers,512,512,16,0.000013362067177543903,0,0,-0.059,84.536140588," 2024-01-01 "," 2026-01-11 "
104,jonboy.eth,jonboy.eth,Solo Stakers,480,480,15,0.000012526937978947409,0,0,0,76.239273812," 2021-09-08 ",Never
105,pate.eth,pate.eth,Solo Stakers,480,480,15,0.000012526937978947409,0,0,0,109.31497400399998," 2020-11-09 ",Never
106,mystakingwallet.eth,mystakingwallet.eth,Solo Stakers,448,448,14,0.000011691808780350914,0,0,0,91.84663035000003," 2021-03-28 ",Never
107,<a href='https://x.com/UpholdInc' target='_blank'>Uphold</a>,Uphold,CEXs,448,448,14,0.000011691808780350914,0,0,0,318.16573027000004," 2023-10-19 "," 2024-01-21 "
108,korkus.eth,korkus.eth,Solo Stakers,427,427,13.34375,0.000011143755243771966,0,0,0,25.345761168," 2025-06-03 ",Never
